module,duration,starttime,endtime,instructors,token,in deck?,in book?,in_deck,in_book,store_dur,store_start,store_end
Chemical Weapons,15,5:55 PM,6:10 PM,D,chemical-weapons,√,√,TRUE,TRUE,,,
Practical: Eye Flush,30,6:10 PM,6:40 PM,MR/BD,practical-eye-flush,√,,TRUE,FALSE,,,
Day 2 Wrapup,15,6:40 PM,6:55 PM,MR/BD,day-2-wrapup,√,,TRUE,FALSE,,,
Day Two Total (Hours):,9.4,,,,,,,,,,,
DAY THREE,,,,,,,,,,,,
Instructors Meeting,30,12:30 PM,1:00 PM,,,,,,,,,
Day 3 Opening,5,1:00 PM,1:05 PM,,day-3-opening,√,,TRUE,FALSE,,,
Street Medic Ops (Advanced),15,1:00 PM,1:15 PM,BD,street-medic-ops-advanced,√,√,TRUE,TRUE,,,
Special Injuries,30,1:05 PM,1:35 PM,MR,injuries-special,√,√,TRUE,TRUE,,,
Mass Casualty Incidents,10,1:15 PM,1:25 PM,BD,mci,√,√,TRUE,TRUE,,,
Scenario (Chem Weapons),40,1:35 PM,2:15 PM,BD,scenario-chem-weapons,√,,TRUE,FALSE,,,
Break,20,2:15 PM,2:35 PM,,break,√,,TRUE,FALSE,,,
Respiratory Emergencies,15,2:35 PM,2:50 PM,DP,medical-respiratory,√,√,TRUE,TRUE,,,
Fainting & Seizures,20,2:50 PM,3:10 PM,C/BD,medical-fainting-seizures,√,√,TRUE,TRUE,,,
Diabetic Emergencies,10,3:10 PM,3:20 PM,BD,medical-diabetic,√,√,TRUE,TRUE,,,
Street Medic Philosophy & Organizing,10,3:20 PM,3:30 PM,BD,street-medic-philosophy-organizing,√,√,TRUE,TRUE,,,
Local Street Medic Organizing,10,3:30 PM,3:40 PM,NYCAM,street-medic-organizing-local,√,√,TRUE,TRUE,,,
Street Medic Mental Health,10,3:40 PM,3:50 PM,BD,street-medic-mental-health,√,√,TRUE,TRUE,,,
Street Medic Gear,10,3:50 PM,4:00 PM,BD,street-medic-gear,√,√,TRUE,TRUE,,,
Break - Light Meal,40,4:00 PM,4:40 PM,,break,√,,TRUE,FALSE,,,
Scenario (Wake Up),40,4:40 PM,5:20 PM,BD,scenario-wake-up,√,,TRUE,FALSE,,,
Scenario (Final Event),40,5:20 PM,6:00 PM,BD,scenario-wake-up,√,,TRUE,FALSE,,,
Day 3 Wrapup,15,6:00 PM,6:15 PM,MR/BD/DP,day-3-wrapup,√,,TRUE,FALSE,,,
,,,,,,,,,,,,
Day Three Total (Hours):,5.7,,,,,,,,,,,
